model,History+NLP,HistoryOnly,delta_sMAPE
LightGBM,18.19554183722661,18.518071636457226,-0.3225297992306153
RandomForest,13.545506566903997,13.936921993791083,-0.39141542688708597
Ridge,18.32749083295164,18.39045094675226,-0.06296011380062083
